seq,tx_ns,rx_ns,e2e_ns,secoc_auth_ns,secoc_verify_ns,cantp_ns,bus_ns,pdu_bytes,auth_bytes,fragments,signal_id,bus_id,asil,deadline_class,outcome,attack_kind,protected_mode
1,2701447,2927762,226315,120161,0,2049,103743,3327,3309,52,4,0,3,2,0,0,2
0,0,3721459,3721459,0,32177,0,0,3327,0,0,4,0,3,2,0,0,2
2,3723243,3919301,196058,120992,0,2019,72746,3327,3309,52,4,0,3,2,0,0,2
0,0,4650178,4650178,0,30816,0,0,3327,0,0,4,0,3,2,0,0,2
3,4651740,4775925,124185,47063,0,2078,74787,3327,3309,52,4,0,3,2,0,0,2
0,0,5500918,5500918,0,31068,0,0,3327,0,0,4,0,3,2,0,0,2
4,5502430,5773275,270845,186935,0,2080,81509,3327,3309,52,4,0,3,2,0,0,2
0,0,6493033,6493033,0,30534,0,0,3327,0,0,4,0,3,2,0,0,2
5,6494544,6619945,125401,42489,0,2081,80540,3327,3309,52,4,0,3,2,0,0,2
0,0,7345716,7345716,0,30827,0,0,3327,0,0,4,0,3,2,0,0,2
6,7347325,7505981,158656,89972,0,2081,66281,3327,3309,52,4,0,3,2,0,0,2
0,0,8241093,8241093,0,30706,0,0,3327,0,0,4,0,3,2,0,0,2
7,8242811,8416542,173731,67787,0,2087,103556,3327,3309,52,4,0,3,2,0,0,2
0,0,9202858,9202858,0,31230,0,0,3327,0,0,4,0,3,2,0,0,2
8,9204342,9346321,141979,59518,0,2100,80061,3327,3309,52,4,0,3,2,0,0,2
0,0,10067831,10067831,0,30898,0,0,3327,0,0,4,0,3,2,0,0,2
9,10069305,10316605,247300,162593,0,2104,82312,3327,3309,52,4,0,3,2,0,0,2
0,0,11046353,11046353,0,32838,0,0,3327,0,0,4,0,3,2,0,0,2
10,11048357,11184551,136194,61200,0,2035,72644,3327,3309,52,4,0,3,2,0,0,2
0,0,11924354,11924354,0,30990,0,0,3327,0,0,4,0,3,2,0,0,2
11,11926023,12069830,143807,71322,0,2017,70168,3327,3309,52,4,0,3,2,0,0,2
0,0,12798265,12798265,0,30728,0,0,3327,0,0,4,0,3,2,0,0,2
12,12799916,13010700,210784,133910,0,2039,74516,3327,3309,52,4,0,3,2,0,0,2
0,0,13735150,13735150,0,30677,0,0,3327,0,0,4,0,3,2,0,0,2
13,13736712,13876722,140010,55854,0,2029,81818,3327,3309,52,4,0,3,2,0,0,2
0,0,14616356,14616356,0,42118,0,0,3327,0,0,4,0,3,2,0,0,2
14,14618114,14736633,118519,42827,0,2062,73317,3327,3309,52,4,0,3,2,0,0,2
0,0,15464876,15464876,0,30629,0,0,3327,0,0,4,0,3,2,0,0,2
15,15466488,15586332,119844,53214,0,2039,64304,3327,3309,52,4,0,3,2,0,0,2
0,0,16332895,16332895,0,30592,0,0,3327,0,0,4,0,3,2,0,0,2
16,16334468,16553640,219172,118683,0,2111,98062,3327,3309,52,4,0,3,2,0,0,2
0,0,17333845,17333845,0,31009,0,0,3327,0,0,4,0,3,2,0,0,2
17,17335395,17555157,219762,147486,0,2034,69964,3327,3309,52,4,0,3,2,0,0,2
0,0,18303473,18303473,0,46290,0,0,3327,0,0,4,0,3,2,0,0,2
18,18305057,18469624,164567,69307,0,2136,92853,3327,3309,52,4,0,3,2,0,0,2
0,0,19253337,19253337,0,31039,0,0,3327,0,0,4,0,3,2,0,0,2
19,19254813,19494177,239364,166211,0,2160,70707,3327,3309,52,4,0,3,2,0,0,2
0,0,20223272,20223272,0,31027,0,0,3327,0,0,4,0,3,2,0,0,2
20,20224734,20535174,310440,225542,0,2057,82501,3327,3309,52,4,0,3,2,0,0,2
0,0,21249428,21249428,0,30968,0,0,3327,0,0,4,0,3,2,0,0,2
21,21250920,21444242,193322,122023,0,2083,68916,3327,3309,52,4,0,3,2,0,0,2
0,0,22171107,22171107,0,30767,0,0,3327,0,0,4,0,3,2,0,0,2
22,22172643,22457489,284846,199070,0,2087,83409,3327,3309,52,4,0,3,2,0,0,2
0,0,23174017,23174017,0,30879,0,0,3327,0,0,4,0,3,2,0,0,2
23,23175534,23331495,155961,58471,0,2037,95122,3327,3309,52,4,0,3,2,0,0,2
0,0,24090387,24090387,0,30893,0,0,3327,0,0,4,0,3,2,0,0,2
24,24091817,24308364,216547,99973,0,2059,114233,3327,3309,52,4,0,3,2,0,0,2
0,0,25087594,25087594,0,30784,0,0,3327,0,0,4,0,3,2,0,0,2
25,25089057,25227977,138920,69935,0,2057,66596,3327,3309,52,4,0,3,2,0,0,2
0,0,25960909,25960909,0,30738,0,0,3327,0,0,4,0,3,2,0,0,2
26,25962429,26070833,108404,42337,0,2037,63702,3327,3309,52,4,0,3,2,0,0,2
0,0,26804534,26804534,0,30664,0,0,3327,0,0,4,0,3,2,0,0,2
27,26806046,26966819,160773,53598,0,2084,104812,3327,3309,52,4,0,3,2,0,0,2
0,0,27738577,27738577,0,30754,0,0,3327,0,0,4,0,3,2,0,0,2
28,27740020,28079514,339494,255998,0,2319,80881,3327,3309,52,4,0,3,2,0,0,2
0,0,28803324,28803324,0,31512,0,0,3327,0,0,4,0,3,2,0,0,2
29,28804959,28993820,188861,56076,0,2087,130356,3327,3309,52,4,0,3,2,0,0,2
0,0,29761999,29761999,0,32310,0,0,3327,0,0,4,0,3,2,0,0,2
30,29763885,29898241,134356,56944,0,2048,75011,3327,3309,52,4,0,3,2,0,0,2
0,0,30622147,30622147,0,30826,0,0,3327,0,0,4,0,3,2,0,0,2
31,30623849,30763537,139688,70039,0,2081,67303,3327,3309,52,4,0,3,2,0,0,2
0,0,31511638,31511638,0,30867,0,0,3327,0,0,4,0,3,2,0,0,2
32,31513086,31734006,220920,146234,0,2039,72393,3327,3309,52,4,0,3,2,0,0,2
0,0,32461692,32461692,0,30659,0,0,3327,0,0,4,0,3,2,0,0,2
33,32463151,32645455,182304,109768,0,2048,70218,3327,3309,52,4,0,3,2,0,0,2
0,0,33374028,33374028,0,30882,0,0,3327,0,0,4,0,3,2,0,0,2
34,33375620,33513774,138154,68339,0,2044,67483,3327,3309,52,4,0,3,2,0,0,2
0,0,34244881,34244881,0,30939,0,0,3327,0,0,4,0,3,2,0,0,2
35,34246389,34407099,160710,90491,0,2075,67864,3327,3309,52,4,0,3,2,0,0,2
0,0,35143674,35143674,0,31113,0,0,3327,0,0,4,0,3,2,0,0,2
36,35145088,35532091,387003,318879,0,2050,65730,3327,3309,52,4,0,3,2,0,0,2
0,0,36369653,36369653,0,54836,0,0,3327,0,0,4,0,3,2,0,0,2
37,36373956,36521579,147623,57559,0,2066,87551,3327,3309,52,4,0,3,2,0,0,2
0,0,37309978,37309978,0,50949,0,0,3327,0,0,4,0,3,2,0,0,2
38,37311608,37441098,129490,57100,0,2018,70102,3327,3309,52,4,0,3,2,0,0,2
0,0,38167933,38167933,0,30444,0,0,3327,0,0,4,0,3,2,0,0,2
39,38169369,38302312,132943,42557,0,2036,88043,3327,3309,52,4,0,3,2,0,0,2
0,0,39117348,39117348,0,40046,0,0,3327,0,0,4,0,3,2,0,0,2
40,39121020,39388543,267523,146387,0,2085,118634,3327,3309,52,4,0,3,2,0,0,2
0,0,40220003,40220003,0,48792,0,0,3327,0,0,4,0,3,2,0,0,2
41,40224225,40439218,214993,106056,0,2425,106043,3327,3309,52,4,0,3,2,0,0,2
0,0,41258426,41258426,0,44117,0,0,3327,0,0,4,0,3,2,0,0,2
42,41260933,41473621,212688,105255,0,2436,104646,3327,3309,52,4,0,3,2,0,0,2
0,0,43312690,43312690,0,53338,0,0,3327,0,0,4,0,3,2,0,0,2
43,43315419,43526902,211483,133266,0,2056,75753,3327,3309,52,4,0,3,2,0,0,2
0,0,44257031,44257031,0,31278,0,0,3327,0,0,4,0,3,2,0,0,2
44,44258679,44436992,178313,98179,0,2133,77685,3327,3309,52,4,0,3,2,0,0,2
0,0,45160785,45160785,0,30812,0,0,3327,0,0,4,0,3,2,0,0,2
45,45162205,45317568,155363,67086,0,2162,85825,3327,3309,52,4,0,3,2,0,0,2
0,0,46039938,46039938,0,32290,0,0,3327,0,0,4,0,3,2,0,0,2
46,46041771,46190483,148712,72449,0,2083,73914,3327,3309,52,4,0,3,2,0,0,2
0,0,46934145,46934145,0,31147,0,0,3327,0,0,4,0,3,2,0,0,2
47,46935798,47049097,113299,43167,0,2059,67777,3327,3309,52,4,0,3,2,0,0,2
0,0,47780186,47780186,0,30815,0,0,3327,0,0,4,0,3,2,0,0,2
48,47781683,47906684,125001,53708,0,2015,68939,3327,3309,52,4,0,3,2,0,0,2
0,0,48639918,48639918,0,33083,0,0,3327,0,0,4,0,3,2,0,0,2
49,48641539,48839360,197821,125637,0,2084,69822,3327,3309,52,4,0,3,2,0,0,2
0,0,49696552,49696552,0,39590,0,0,3327,0,0,4,0,3,2,0,0,2
50,49700141,49850230,150089,65028,0,2039,82645,3327,3309,52,4,0,3,2,0,0,2
0,0,50577026,50577026,0,30953,0,0,3327,0,0,4,0,3,2,0,0,2
51,50578763,50695791,117028,43517,0,2036,71177,3327,3309,52,4,0,3,2,0,0,2
0,0,51427095,51427095,0,30774,0,0,3327,0,0,4,0,3,2,0,0,2
52,51428758,51618208,189450,115391,0,2016,71721,3327,3309,52,4,0,3,2,0,0,2
0,0,52346126,52346126,0,34483,0,0,3327,0,0,4,0,3,2,0,0,2
53,52348074,52492198,144124,60425,0,2049,81318,3327,3309,52,4,0,3,2,0,0,2
0,0,53256043,53256043,0,42715,0,0,3327,0,0,4,0,3,2,0,0,2
54,53259805,53411728,151923,74830,0,2041,74620,3327,3309,52,4,0,3,2,0,0,2
0,0,54135841,54135841,0,31098,0,0,3327,0,0,4,0,3,2,0,0,2
55,54137493,54256011,118518,43679,0,2017,72461,3327,3309,52,4,0,3,2,0,0,2
0,0,54932619,54932619,0,30434,0,0,3327,0,0,4,0,3,2,0,0,2
56,54934278,55065858,131580,53385,0,2069,75819,3327,3309,52,4,0,3,2,0,0,2
0,0,55785771,55785771,0,30778,0,0,3327,0,0,4,0,3,2,0,0,2
57,55787339,55902082,114743,42314,0,2031,70077,3327,3309,52,4,0,3,2,0,0,2
0,0,56780304,56780304,0,31402,0,0,3327,0,0,4,0,3,2,0,0,2
58,56781993,56904288,122295,43355,0,2037,76598,3327,3309,52,4,0,3,2,0,0,2
0,0,57622485,57622485,0,30516,0,0,3327,0,0,4,0,3,2,0,0,2
59,57623912,57872670,248758,173181,0,2037,73218,3327,3309,52,4,0,3,2,0,0,2
0,0,58634580,58634580,0,36566,0,0,3327,0,0,4,0,3,2,0,0,2
60,58637697,58768940,131243,50900,0,2052,77947,3327,3309,52,4,0,3,2,0,0,2
0,0,59507791,59507791,0,31125,0,0,3327,0,0,4,0,3,2,0,0,2
61,59509490,59660332,150842,79903,0,2037,68595,3327,3309,52,4,0,3,2,0,0,2
0,0,60401621,60401621,0,30842,0,0,3327,0,0,4,0,3,2,0,0,2
62,60403109,60576146,173037,98289,0,2058,72419,3327,3309,52,4,0,3,2,0,0,2
0,0,61320970,61320970,0,47871,0,0,3327,0,0,4,0,3,2,0,0,2
63,61322608,61442965,120357,42972,0,2038,75072,3327,3309,52,4,0,3,2,0,0,2
0,0,62155266,62155266,0,32996,0,0,3327,0,0,4,0,3,2,0,0,2
64,62157340,62376987,219647,147993,0,2027,69333,3327,3309,52,4,0,3,2,0,0,2
0,0,63124432,63124432,0,38828,0,0,3327,0,0,4,0,3,2,0,0,2
65,63127883,63480360,352477,274088,0,2067,75903,3327,3309,52,4,0,3,2,0,0,2
0,0,64206554,64206554,0,50810,0,0,3327,0,0,4,0,3,2,0,0,2
66,64209079,64429335,220256,131056,0,2095,86725,3327,3309,52,4,0,3,2,0,0,2
0,0,65201963,65201963,0,31667,0,0,3327,0,0,4,0,3,2,0,0,2
67,65203560,65348602,145042,55148,0,2085,87499,3327,3309,52,4,0,3,2,0,0,2
0,0,66108860,66108860,0,34314,0,0,3327,0,0,4,0,3,2,0,0,2
68,66111206,66447175,335969,274986,0,2057,58574,3327,3309,52,4,0,3,2,0,0,2
0,0,67338207,67338207,0,32499,0,0,3327,0,0,4,0,3,2,0,0,2
69,67340066,67471945,131879,45583,0,2092,83831,3327,3309,52,4,0,3,2,0,0,2
0,0,68217627,68217627,0,38230,0,0,3327,0,0,4,0,3,2,0,0,2
70,68220991,68427016,206025,139061,0,2057,64466,3327,3309,52,4,0,3,2,0,0,2
0,0,69258034,69258034,0,41533,0,0,3327,0,0,4,0,3,2,0,0,2
71,69261469,69476079,214610,124951,0,2098,87107,3327,3309,52,4,0,3,2,0,0,2
0,0,70438677,70438677,0,40132,0,0,3327,0,0,4,0,3,2,0,0,2
72,70442131,70679324,237193,138371,0,2482,95874,3327,3309,52,4,0,3,2,0,0,2
0,0,71628992,71628992,0,38726,0,0,3327,0,0,4,0,3,2,0,0,2
73,71632526,71844664,212138,136322,0,2052,73340,3327,3309,52,4,0,3,2,0,0,2
0,0,72583259,72583259,0,32843,0,0,3327,0,0,4,0,3,2,0,0,2
74,72585279,72747682,162403,87965,0,2013,72070,3327,3309,52,4,0,3,2,0,0,2
0,0,73526121,73526121,0,30983,0,0,3327,0,0,4,0,3,2,0,0,2
75,73527691,73705686,177995,106063,0,2024,69634,3327,3309,52,4,0,3,2,0,0,2
0,0,74436154,74436154,0,30548,0,0,3327,0,0,4,0,3,2,0,0,2
76,74437701,74600501,162800,85214,0,2032,75256,3327,3309,52,4,0,3,2,0,0,2
0,0,75333003,75333003,0,30734,0,0,3327,0,0,4,0,3,2,0,0,2
77,75334683,75694171,359488,284181,0,2032,72965,3327,3309,52,4,0,3,2,0,0,2
0,0,76419054,76419054,0,30964,0,0,3327,0,0,4,0,3,2,0,0,2
78,76420538,76617066,196528,125708,0,2030,68477,3327,3309,52,4,0,3,2,0,0,2
0,0,77398524,77398524,0,38920,0,0,3327,0,0,4,0,3,2,0,0,2
79,77402014,77721891,319877,234980,0,2320,82152,3327,3309,52,4,0,3,2,0,0,2
0,0,78453526,78453526,0,51058,0,0,3327,0,0,4,0,3,2,0,0,2
80,78457733,78549024,91291,74545,0,2455,13842,3327,3309,52,4,0,3,2,0,0,2
0,0,79342792,79342792,0,31513,0,0,3327,0,0,4,0,3,2,0,0,2
81,79344566,79434445,89879,70222,0,1998,17356,3327,3309,52,4,0,3,2,0,0,2
0,0,80198860,80198860,0,35088,0,0,3327,0,0,4,0,3,2,0,0,2
82,80201503,80378553,177050,162280,0,1998,12417,3327,3309,52,4,0,3,2,0,0,2
0,0,81163930,81163930,0,30765,0,0,3327,0,0,4,0,3,2,0,0,2
83,81165668,81224984,59316,43422,0,2001,13572,3327,3309,52,4,0,3,2,0,0,2
0,0,82008516,82008516,0,30358,0,0,3327,0,0,4,0,3,2,0,0,2
84,82010029,82140071,130042,114415,0,1944,13371,3327,3309,52,4,0,3,2,0,0,2
0,0,82935942,82935942,0,30794,0,0,3327,0,0,4,0,3,2,0,0,2
85,82937457,83131327,193870,178143,0,1995,13373,3327,3309,52,4,0,3,2,0,0,2
0,0,83917776,83917776,0,30434,0,0,3327,0,0,4,0,3,2,0,0,2
86,83919326,84027188,107862,92775,0,1976,12833,3327,3309,52,4,0,3,2,0,0,2
0,0,84820901,84820901,0,33804,0,0,3327,0,0,4,0,3,2,0,0,2
87,84823228,84962307,139079,124085,0,1980,12695,3327,3309,52,4,0,3,2,0,0,2
0,0,85746616,85746616,0,31906,0,0,3327,0,0,4,0,3,2,0,0,2
88,85748157,85806044,57887,42437,0,1950,13199,3327,3309,52,4,0,3,2,0,0,2
0,0,86598764,86598764,0,30738,0,0,3327,0,0,4,0,3,2,0,0,2
89,86600264,86783268,183004,165834,0,1965,14908,3327,3309,52,4,0,3,2,0,0,2
0,0,87593104,87593104,0,36099,0,0,3327,0,0,4,0,3,2,0,0,2
90,87595863,87688578,92715,76429,0,1979,13864,3327,3309,52,4,0,3,2,0,0,2
0,0,88523007,88523007,0,68945,0,0,3327,0,0,4,0,3,2,0,0,2
91,88524997,88659554,134557,119042,0,1953,13208,3327,3309,52,4,0,3,2,0,0,2
0,0,89484347,89484347,0,38528,0,0,3327,0,0,4,0,3,2,0,0,2
92,89487820,89733371,245551,229407,0,2024,13703,3327,3309,52,4,0,3,2,0,0,2
0,0,90534594,90534594,0,31330,0,0,3327,0,0,4,0,3,2,0,0,2
93,90536270,90596336,60066,44274,0,1988,13521,3327,3309,52,4,0,3,2,0,0,2
0,0,91577338,91577338,0,40003,0,0,3327,0,0,4,0,3,2,0,0,2
94,91580625,91650645,70020,54570,0,2012,13005,3327,3309,52,4,0,3,2,0,0,2
0,0,92499926,92499926,0,39022,0,0,3327,0,0,4,0,3,2,0,0,2
95,92503317,92584557,81240,66049,0,2002,12756,3327,3309,52,4,0,3,2,0,0,2
0,0,93457080,93457080,0,39211,0,0,3327,0,0,4,0,3,2,0,0,2
96,93468316,93537299,68983,53043,0,2011,13449,3327,3309,52,4,0,3,2,0,0,2
0,0,94470692,94470692,0,37180,0,0,3327,0,0,4,0,3,2,0,0,2
97,94473520,94616628,143108,126944,0,1993,13748,3327,3309,52,4,0,3,2,0,0,2
0,0,95409233,95409233,0,31569,0,0,3327,0,0,4,0,3,2,0,0,2
98,95410910,95512799,101889,85960,0,1972,13675,3327,3309,52,4,0,3,2,0,0,2
0,0,96407703,96407703,0,60060,0,0,3327,0,0,4,0,3,2,0,0,2
99,96411157,96498856,87699,70063,0,2120,15124,3327,3309,52,4,0,3,2,0,0,2
0,0,97424970,97424970,0,65438,0,0,3327,0,0,4,0,3,2,0,0,2
100,97428312,97587817,159505,144132,0,1990,12989,3327,3309,52,4,0,3,2,0,0,2
0,0,98419818,98419818,0,37774,0,0,3327,0,0,4,0,3,2,0,0,2
101,98422922,98490983,68061,52506,0,1987,13129,3327,3309,52,4,0,3,2,0,0,2
0,0,99301840,99301840,0,49637,0,0,3327,0,0,4,0,3,2,0,0,2
102,99303665,99364049,60384,44221,0,1984,13825,3327,3309,52,4,0,3,2,0,0,2
0,0,100336846,100336846,0,59289,0,0,3327,0,0,4,0,3,2,0,0,2
103,100340165,100641281,301116,284453,0,2042,14186,3327,3309,52,4,0,3,2,0,0,2
0,0,101561749,101561749,0,38810,0,0,3327,0,0,4,0,3,2,0,0,2
104,101565382,101634349,68967,52825,0,2001,13728,3327,3309,52,4,0,3,2,0,0,2
0,0,102538429,102538429,0,40266,0,0,3327,0,0,4,0,3,2,0,0,2
105,102542660,102642507,99847,82705,0,2212,14519,3327,3309,52,4,0,3,2,0,0,2
0,0,103444754,103444754,0,32042,0,0,3327,0,0,4,0,3,2,0,0,2
106,103446472,103586983,140511,125319,0,1986,12876,3327,3309,52,4,0,3,2,0,0,2
0,0,104381792,104381792,0,38992,0,0,3327,0,0,4,0,3,2,0,0,2
107,104385360,104460725,75365,52873,0,2007,20055,3327,3309,52,4,0,3,2,0,0,2
0,0,105254316,105254316,0,30800,0,0,3327,0,0,4,0,3,2,0,0,2
108,105255903,105403674,147771,130495,0,1947,15005,3327,3309,52,4,0,3,2,0,0,2
0,0,106198242,106198242,0,30367,0,0,3327,0,0,4,0,3,2,0,0,2
109,106199727,106558053,358326,341314,0,1994,14722,3327,3309,52,4,0,3,2,0,0,2
0,0,107343772,107343772,0,30239,0,0,3327,0,0,4,0,3,2,0,0,2
110,107345290,107486589,141299,125100,0,1952,13980,3327,3309,52,4,0,3,2,0,0,2
0,0,108270404,108270404,0,30698,0,0,3327,0,0,4,0,3,2,0,0,2
111,108271914,108373439,101525,84766,0,1982,14479,3327,3309,52,4,0,3,2,0,0,2
0,0,109163947,109163947,0,31868,0,0,3327,0,0,4,0,3,2,0,0,2
112,109165900,109319454,153554,135867,0,1967,15432,3327,3309,52,4,0,3,2,0,0,2
0,0,110103239,110103239,0,30711,0,0,3327,0,0,4,0,3,2,0,0,2
113,110104727,110210875,106148,90025,0,1993,13803,3327,3309,52,4,0,3,2,0,0,2
0,0,110934082,110934082,0,30515,0,0,3327,0,0,4,0,3,2,0,0,2
114,110935602,110993419,57817,42503,0,1961,13071,3327,3309,52,4,0,3,2,0,0,2
0,0,111780475,111780475,0,30621,0,0,3327,0,0,4,0,3,2,0,0,2
115,111781921,111852140,70219,55139,0,1968,12838,3327,3309,52,4,0,3,2,0,0,2
0,0,112637696,112637696,0,30453,0,0,3327,0,0,4,0,3,2,0,0,2
116,112639190,112708374,69184,53763,0,1978,13175,3327,3309,52,4,0,3,2,0,0,2
0,0,113496691,113496691,0,30429,0,0,3327,0,0,4,0,3,2,0,0,2
117,113498154,113737394,239240,223591,0,1984,13377,3327,3309,52,4,0,3,2,0,0,2
0,0,114537602,114537602,0,30817,0,0,3327,0,0,4,0,3,2,0,0,2
118,114539049,114597969,58920,42600,0,1954,14088,3327,3309,52,4,0,3,2,0,0,2
0,0,115382585,115382585,0,30493,0,0,3327,0,0,4,0,3,2,0,0,2
119,115384071,115441432,57361,42606,0,1974,12501,3327,3309,52,4,0,3,2,0,0,2
0,0,116226614,116226614,0,30373,0,0,3327,0,0,4,0,3,2,0,0,2
120,116228087,116383274,155187,140504,0,1989,12438,3327,3309,52,4,0,3,2,0,0,2
0,0,117170553,117170553,0,30783,0,0,3327,0,0,4,0,3,2,0,0,2
121,117172005,117227585,55580,42286,0,1943,11037,3327,3309,52,4,0,3,2,0,0,2
0,0,118017261,118017261,0,30441,0,0,3327,0,0,4,0,3,2,0,0,2
122,118018746,118075704,56958,42783,0,2000,11912,3327,3309,52,4,0,3,2,0,0,2
0,0,118862067,118862067,0,30489,0,0,3327,0,0,4,0,3,2,0,0,2
123,118863521,118964894,101373,88169,0,1958,10961,3327,3309,52,4,0,3,2,0,0,2
0,0,119864102,119864102,0,39497,0,0,3327,0,0,4,0,3,2,0,0,2
124,119883312,119996299,112987,99740,0,1988,10836,3327,3309,52,4,0,3,2,0,0,2
0,0,120824581,120824581,0,38485,0,0,3327,0,0,4,0,3,2,0,0,2
125,120828059,120989571,161512,147631,0,2009,11446,3327,3309,52,4,0,3,2,0,0,2
0,0,121768929,121768929,0,30601,0,0,3327,0,0,4,0,3,2,0,0,2
126,121770546,121828066,57520,42895,0,1961,12401,3327,3309,52,4,0,3,2,0,0,2
0,0,122797861,122797861,0,32726,0,0,3327,0,0,4,0,3,2,0,0,2
127,122799956,122857971,58015,45442,0,1944,10311,3327,3309,52,4,0,3,2,0,0,2
0,0,123657475,123657475,0,36228,0,0,3327,0,0,4,0,3,2,0,0,2
128,123659991,123742431,82440,68961,0,1972,11168,3327,3309,52,4,0,3,2,0,0,2
0,0,124535657,124535657,0,30816,0,0,3327,0,0,4,0,3,2,0,0,2
129,124537209,124853031,315822,301752,0,1987,11808,3327,3309,52,4,0,3,2,0,0,2
0,0,125723108,125723108,0,41789,0,0,3327,0,0,4,0,3,2,0,0,2
130,125726488,125793693,67205,53215,0,2017,11591,3327,3309,52,4,0,3,2,0,0,2
0,0,126677084,126677084,0,39273,0,0,3327,0,0,4,0,3,2,0,0,2
131,126680421,126969166,288745,273502,0,2019,12813,3327,3309,52,4,0,3,2,0,0,2
0,0,127849591,127849591,0,41768,0,0,3327,0,0,4,0,3,2,0,0,2
132,127852895,128056128,203233,188376,0,1976,12471,3327,3309,52,4,0,3,2,0,0,2
0,0,128846312,128846312,0,30689,0,0,3327,0,0,4,0,3,2,0,0,2
133,128847877,128906803,58926,43237,0,1983,13432,3327,3309,52,4,0,3,2,0,0,2
0,0,129720538,129720538,0,30608,0,0,3327,0,0,4,0,3,2,0,0,2
134,129722110,130028227,306117,290437,0,1969,13390,3327,3309,52,4,0,3,2,0,0,2
0,0,130869991,130869991,0,38964,0,0,3327,0,0,4,0,3,2,0,0,2
135,130953637,131034638,81001,65674,0,2017,12907,3327,3309,52,4,0,3,2,0,0,2
0,0,131827159,131827159,0,31218,0,0,3327,0,0,4,0,3,2,0,0,2
136,131828807,131914987,86180,70577,0,1967,13314,3327,3309,52,4,0,3,2,0,0,2
0,0,132726646,132726646,0,36339,0,0,3327,0,0,4,0,3,2,0,0,2
137,132729587,132898386,168799,154393,0,1977,12029,3327,3309,52,4,0,3,2,0,0,2
0,0,133686443,133686443,0,30400,0,0,3327,0,0,4,0,3,2,0,0,2
138,133687966,133759383,71417,54980,0,1958,14169,3327,3309,52,4,0,3,2,0,0,2
0,0,134543213,134543213,0,30417,0,0,3327,0,0,4,0,3,2,0,0,2
139,134544758,134729187,184429,169727,0,1970,12447,3327,3309,52,4,0,3,2,0,0,2
0,0,135832667,135832667,0,38358,0,0,3327,0,0,4,0,3,2,0,0,2
140,135836013,135921597,85584,66049,0,1982,17178,3327,3309,52,4,0,3,2,0,0,2
0,0,136725899,136725899,0,33924,0,0,3327,0,0,4,0,3,2,0,0,2
141,136727694,136797677,69983,56360,0,1964,11180,3327,3309,52,4,0,3,2,0,0,2
0,0,137589223,137589223,0,34970,0,0,3327,0,0,4,0,3,2,0,0,2
142,137591649,137664912,73263,59122,0,1972,11796,3327,3309,52,4,0,3,2,0,0,2
0,0,138472275,138472275,0,36941,0,0,3327,0,0,4,0,3,2,0,0,2
143,138474072,138529238,55166,43985,0,1987,8851,3327,3309,52,4,0,3,2,0,0,2
0,0,139352388,139352388,0,31182,0,0,3327,0,0,4,0,3,2,0,0,2
144,139354147,139448093,93946,82833,0,1954,8828,3327,3309,52,4,0,3,2,0,0,2
0,0,140236167,140236167,0,30339,0,0,3327,0,0,4,0,3,2,0,0,2
145,140237738,140320695,82957,68884,0,1951,11813,3327,3309,52,4,0,3,2,0,0,2
0,0,141254855,141254855,0,38716,0,0,3327,0,0,4,0,3,2,0,0,2
146,141258176,141347017,88841,74925,0,2024,11513,3327,3309,52,4,0,3,2,0,0,2
0,0,142142285,142142285,0,34053,0,0,3327,0,0,4,0,3,2,0,0,2
147,142144614,142206301,61687,47854,0,1986,11476,3327,3309,52,4,0,3,2,0,0,2
0,0,142940187,142940187,0,31140,0,0,3327,0,0,4,0,3,2,0,0,2
148,142941855,143053241,111386,94321,0,1979,14741,3327,3309,52,4,0,3,2,0,0,2
0,0,143922059,143922059,0,39842,0,0,3327,0,0,4,0,3,2,0,0,2
149,143929406,144086303,156897,144446,0,2012,10037,3327,3309,52,4,0,3,2,0,0,2
0,0,144912349,144912349,0,34776,0,0,3327,0,0,4,0,3,2,0,0,2
150,144915000,144987777,72777,61064,0,1954,9478,3327,3309,52,4,0,3,2,0,0,2
0,0,145897967,145897967,0,37644,0,0,3327,0,0,4,0,3,2,0,0,2
151,145901172,145981389,80217,66688,0,1963,11189,3327,3309,52,4,0,3,2,0,0,2
0,0,146822234,146822234,0,38857,0,0,3327,0,0,4,0,3,2,0,0,2
152,146825522,147146467,320945,306978,0,2019,11425,3327,3309,52,4,0,3,2,0,0,2
0,0,147949772,147949772,0,31499,0,0,3327,0,0,4,0,3,2,0,0,2
153,147951434,148081294,129860,114209,0,1965,13377,3327,3309,52,4,0,3,2,0,0,2
0,0,148956549,148956549,0,38360,0,0,3327,0,0,4,0,3,2,0,0,2
154,148960028,149136985,176957,161295,0,2006,13237,3327,3309,52,4,0,3,2,0,0,2
0,0,149929534,149929534,0,31216,0,0,3327,0,0,4,0,3,2,0,0,2
155,149931190,150001080,69890,55471,0,1997,12134,3327,3309,52,4,0,3,2,0,0,2
0,0,150792357,150792357,0,30714,0,0,3327,0,0,4,0,3,2,0,0,2
156,150793861,150864902,71041,56052,0,1954,12726,3327,3309,52,4,0,3,2,0,0,2
0,0,151650836,151650836,0,30707,0,0,3327,0,0,4,0,3,2,0,0,2
157,151652356,151767708,115352,100434,0,1981,12654,3327,3309,52,4,0,3,2,0,0,2
0,0,152551759,152551759,0,30839,0,0,3327,0,0,4,0,3,2,0,0,2
158,152553304,152610310,57006,42206,0,1981,12512,3327,3309,52,4,0,3,2,0,0,2
